,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E
0,2020-01-02,8721,68.0,102.0,56.0,0.1,0.14076025570704664,0.1159202105822737,0,0,0,0
1,2020-01-03,8583,,52.0,,56.0,,,0,0,0,0
2,2020-01-06,8505,,5.4,,147.0,,,0,0,0,0
3,2020-01-07,8422,,0.6,,225.0,,,0,0,0,0
4,2020-01-08,8603,136.0,0.1,99.0,260.0,0.28538188771850603,0.20774122708920661,0,1,0,1
5,2020-01-09,8645,,247.0,,29.0,,,0,0,0,1
6,2020-01-10,8750,,284.0,,20.0,,,0,0,0,1
7,2020-01-13,8815,,370.0,,1.5,,,0,0,0,1
8,2020-01-14,8714,,431.0,,0.9,,,0,0,0,1
9,2020-01-15,8712,101.0,313.0,86.0,0.1,0.20928636159748645,0.17820422868696864,0,1,0,1
10,2020-01-16,8731,,99.0,,84.0,,,0,0,0,1
11,2020-01-17,8771,,100.0,,66.0,,,0,0,0,1
12,2020-01-30,8129,186.0,0.2,95.0,615.0,0.41306009592369836,0.2109715543696309,1,1,1,1
13,2020-01-31,7984,,228.0,,42.5,,,0,0,1,1
14,2020-02-03,8194,,115.0,,76.0,,,0,0,1,1
15,2020-02-04,8202,,258.0,,7.9,,,0,0,1,1
16,2020-02-05,8399,149.0,260.0,96.0,0.1,0.32025513946539835,0.2063388818032097,1,1,1,1
17,2020-02-06,8249,,278.0,,28.5,,,0,0,1,1
18,2020-02-07,8225,,161.0,,56.0,,,0,0,1,1
19,2020-02-10,8324,,126.0,,44.0,,,0,0,1,1
20,2020-02-11,8430,,187.0,,8.4,,,0,0,1,1
21,2020-02-12,8435,110.0,293.0,90.0,0.2,0.2354209018834808,0.19261710154102973,0,1,0,1
22,2020-02-13,8470,,105.0,,79.0,,,0,0,0,1
23,2020-02-14,8429,,108.0,,47.0,,,0,0,0,1
24,2020-02-17,8300,,61.0,,40.5,,,0,0,0,1
25,2020-02-18,8434,,8.2,,117.0,,,0,0,0,1
26,2020-02-19,8384,105.0,10.0,80.0,0.1,0.22608692669549343,0.1722567060537093,0,1,0,1
27,2020-02-20,8334,,69.0,,92.0,,,0,0,0,1
28,2020-02-21,8182,,41.5,,116.0,,,0,0,0,1
29,2020-02-24,8212,,5.1,,232.0,,,0,0,0,1
30,2020-02-25,8092,,1.7,,202.0,,,0,0,0,1
31,2020-02-26,7947,144.0,0.1,111.0,317.0,0.32711216841546964,0.2521489631535912,1,1,1,1
32,2020-03-02,7992,,17.5,,222.0,,,0,0,1,1
33,2020-03-03,8029,,24.5,,89.0,,,0,0,1,1
34,2020-03-04,8162,138.0,0.1,110.0,21.0,0.3052248695946049,0.243295185908743,1,1,1,1
35,2020-03-05,7940,,202.0,,44.5,,,0,0,1,1
36,2020-03-06,7622,,84.0,,146.0,,,0,0,1,1
37,2020-03-09,7652,,7.5,,385.0,,,0,0,1,1
38,2020-03-10,7495,,1.3,,340.0,,,0,0,1,1
39,2020-03-11,7033,200.0,0.2,178.0,443.0,0.5133656418151211,0.45689542121545773,1,1,1,1
40,2020-03-12,6698,,32.5,,468.0,,,0,0,1,1
41,2020-03-13,6350,,19.5,,785.0,,,0,0,1,1
42,2020-03-16,6042,,1.5,,1120.0,,,0,0,1,1
43,2020-03-17,5756,,0.1,,1430.0,,,0,0,1,1
44,2020-03-18,5193,417.0,0.3,285.0,1490.0,1.4496232746537225,0.9907497200870765,1,1,1,1
45,2020-03-19,5878,,146.0,,565.0,,,0,0,1,1
46,2020-03-20,5502,,370.0,,160.0,,,0,0,1,1
47,2020-03-23,6030,,141.0,,260.0,,,0,0,1,1
